2025-03-31 07:31:55 - INFO - === INITIALIZING SPEECH TO TEXT ===
2025-03-31 07:31:55 - INFO - Assistant ID: 3
2025-03-31 07:31:55 - INFO - Using Deepgram API key starting with: c313...
2025-03-31 07:35:33 - INFO - === INITIALIZING SPEECH TO TEXT ===
2025-03-31 07:35:33 - INFO - Assistant ID: 3
2025-03-31 07:35:33 - INFO - Using Deepgram API key starting with: c313...
2025-03-31 07:39:30 - INFO - === INITIALIZING SPEECH TO TEXT ===
2025-03-31 07:39:30 - INFO - Assistant ID: 3
2025-03-31 07:39:30 - INFO - Using Deepgram API key starting with: c313...
2025-03-31 07:45:03 - INFO - === INITIALIZING SPEECH TO TEXT ===
2025-03-31 07:45:03 - INFO - Assistant ID: 3
2025-03-31 07:45:03 - INFO - Using Deepgram API key starting with: c313...
2025-03-31 07:45:03 - INFO - === STARTING STREAM ===
2025-03-31 07:45:03 - INFO - Assistant ID: 3
2025-03-31 07:45:03 - INFO - === INITIALIZING DEEPGRAM CONNECTION ===
2025-03-31 07:45:03 - INFO - Created Deepgram connection
2025-03-31 07:45:03 - INFO - Event handlers registered
2025-03-31 07:45:04 - INFO - === DEEPGRAM CONNECTION OPENED ===
2025-03-31 07:45:04 - INFO - Assistant ID: 3
2025-03-31 07:45:04 - INFO - Deepgram connection started successfully
2025-03-31 07:45:04 - INFO - Connection confirmed as open
2025-03-31 07:45:04 - INFO - Stream initialized successfully
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:04 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:04 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - === DEEPGRAM TRANSCRIPT RECEIVED ===
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:05 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:05 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:06 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:06 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:06 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:06 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:06 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:06 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:06 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:06 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:06 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:06 - INFO - Sent 1366 bytes to Deepgram
